submission_id,additions,additions_other
MAdjVA,Other,Coco
EPboEX,No - just black,NULL
6dQ64k,Milk,NULL
6dQ64k,dairy alternative,NULL
6dQ64k,or coffee creamer,NULL
NAB240,No - just black,NULL
pLPYzB,No - just black,NULL
OABxEg,Milk,NULL
OABxEg,dairy alternative,NULL
OABxEg,or coffee creamer,NULL
NAB2gB,No - just black,NULL
vNx8vQ,Milk,NULL
vNx8vQ,dairy alternative,NULL
vNx8vQ,or coffee creamer,NULL
LdM4yj,No - just black,NULL
qbE8k9,No - just black,NULL
qbE8v9,No - just black,NULL
qbE8v9,Sugar or sweetener,NULL
qbE8v9,Milk,NULL
qbE8v9,dairy alternative,NULL
qbE8v9,or coffee creamer,NULL
dY2J8d,Milk,NULL
dY2J8d,dairy alternative,NULL
dY2J8d,or coffee creamer,NULL
jB98Yx,Milk,NULL
jB98Yx,dairy alternative,NULL
jB98Yx,or coffee creamer,NULL
jB98Yx,Sugar or sweetener,NULL
jB98Yx,Flavor syrup,NULL
rlr8gN,Milk,NULL
rlr8gN,dairy alternative,NULL
rlr8gN,or coffee creamer,NULL
XeB6Ng,No - just black,NULL
XeB6Ng,Milk,NULL
XeB6Ng,dairy alternative,NULL
XeB6Ng,or coffee creamer,NULL
OABx97,Milk,NULL
OABx97,dairy alternative,NULL
OABx97,or coffee creamer,NULL
42NlEX,No - just black,NULL
42NlEX,Milk,NULL
42NlEX,dairy alternative,NULL
42NlEX,or coffee creamer,NULL
LdM4al,No - just black,NULL
ZdRbDB,No - just black,NULL
ZdRbDB,Milk,NULL
ZdRbDB,dairy alternative,NULL
ZdRbDB,or coffee creamer,NULL
